"study_id","first_author","pubyear","papers","effect_sizes","experiments","toedieningsroute","drug","drug_class","dose_unit","dose","unit","hed","hed2","frequency","timing","multiplication_factor_es","anxiety_test","type_of_outcome","type_of_anxiety_test","species","strain","disease","mean_treatment_group","se_treatment_group","n_treatment_group","sd_treatment_group","mean_control_group","se_control_group","n_control_group","sd_control_group","sex","id_sample","Sample","dose2"
"Chhatwal_2005_1_1","Chhatwal",2005,1,1,1,"i.p.","AM404","Reuptake inhibitor","2 mg/kg",2,"mg/kg",0.324,0.104976,"SD","acute",1,"Cued fear conditioning","Extinction retention","Conditioned","rats","Sprague-Dawley","none",143.443,24.59,21,112.685536338964,205.738,44.262,21,202.833965410135,"Male","1","AM404conditioned",NA
"Chhatwal_2005_2_1","Chhatwal",2005,1,2,1,"i.p.","AM404","Reuptake inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Cued fear conditioning","Extinction retention","Conditioned","rats","Sprague-Dawley","none",120.492,22.951,29,123.594917488544,205.738,44.262,21,202.833965410135,"Male","1","AM404conditioned",NA
"Chhatwal_2005_3_1","Chhatwal",2005,1,3,1,"i.p.","AM404","Reuptake inhibitor","2 mg/kg",2,"mg/kg",0.324,0.104976,"SD","acute",1,"Cued fear conditioning","Extinction retention","Conditioned","rats","Sprague-Dawley","none",143.86,36.842,12,127.624431704905,171.053,36.842,13,132.835720090644,"Male","1","AM404conditioned",NA
"Chhatwal_2005_4_1","Chhatwal",2005,1,4,1,"i.p.","AM404","Reuptake inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Cued fear conditioning","Extinction retention","Conditioned","rats","Sprague-Dawley","none",74.561,28.07,13,101.207824302274,171.053,36.842,13,132.835720090644,"Male","1","AM404conditioned",NA
"Chhatwal_2005_5_2","Chhatwal",2005,1,5,2,"i.p.","AM404","Reuptake inhibitor",NA,10,"mg/kg",1.62,2.6244,"SD","acute",1,"Cued fear conditioning","Conditioned fear expression","Conditioned","rats","Sprague-Dawley","none",153.951,NA,8,54.496,147.139,NA,8,52.452,"Male","1","AM404conditioned",NA
"Pamplona_2008_6_3","Pamplona",2008,2,6,3,"i.p.","AM404","Reuptake inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Within-session fear extinction","Conditioned","rats","Wistar","none",37.44966443,14.4966443,9,43.4899329,93.02013423,12.68456376,9,38.05369128,"Male","2","AM404conditioned",NA
"Pamplona_2008_7_3","Pamplona",2008,2,7,3,"i.p.","AM404","Reuptake inhibitor","10 mg/kg",10,"mg/kg",1.62,2.6244,"SD","acute",1,"Contextual fear conditioning","Extinction retention","Conditioned","rats","Wistar","none",40.5298,11.3245,9,33.9735,84.63576,10.13245,9,30.39735,"Male","2","AM404conditioned",NA
"Llorente-Berzal_2015_8_4","Llorente-Berzal",2015,3,8,4,"i.p.","AM404","Reuptake inhibitor","3 mg/kg",3,"mg/kg",0.243,0.059049,"MD","acute",1,"Cued fear conditioning","Within-session fear extinction","Conditioned","mice","C57BL/6NCrl","none",31.9230769230769,7.3076923076923,18,31.003912713564,47.6923076923076,8.0769230769231,18,34.2674824728866,"Male","3","AM404conditioned",NA
"Llorente-Berzal_2015_9_4","Llorente-Berzal",2015,3,9,4,"i.p.","AM404","Reuptake inhibitor","3 mg/kg",3,"mg/kg",0.243,0.059049,"MD","acute",1,"Cued fear conditioning","Within-session fear extinction","Conditioned","mice","C57BL/6NCrl","none",8.33333333333332,4.36507936507928,9,13.0952380952378,45.2380952380952,9.9206349206349,9,29.7619047619047,"Male","3","AM404conditioned",NA
"Llorente-Berzal_2015_10_4","Llorente-Berzal",2015,3,10,4,"i.p.","AM404","Reuptake inhibitor","3 mg/kg",3,"mg/kg",0.243,0.059049,"MD","acute",1,"Cued fear conditioning","Extinction retention","Conditioned","mice","C57BL/6NCrl","none",64.9999999999999,5.7692307692308,18,24.4767731949191,53.4615384615384,6.5384615384616,18,27.7403429542417,"Male","3","AM404conditioned",NA
