"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","year",0.00870822337919115,0.00106432737146393,450.655859853804,1.00600097320926,"[-0.02, 0.07]",""
"2","dose",0.0158126953399001,0.00813186710911,68.9133809992733,1.07085790224784,"[-0.09, 0.25]",""
"3","dose2",-0.000227996378043636,3.97344007649037e-05,953.845056889924,1.00045398846714,"[-0.00, 0.00]",""
"4","hed",0.0409153984334729,0.0105226456557176,725.421369715004,1.00329464215607,"[-0.46, 0.73]",""
"5","hed2",0.0235305001036534,0.0561997715942156,86.8987698177908,1.05204923706792,"[-0.97, 1.66]",""
"6","anxiety_testcued",-0.0119032037288808,0.0123898440684985,121.788476418674,1.03440089953006,"[-0.34, 0.32]",""
"7","outcome_typeex_ret",-0.0222469397683113,0.0137230609901558,119.098474163814,1.03766184199504,"[-0.48, 0.25]",""
"8","outcome_typewithin_ex",0.0314551401079411,0.00251807843788491,2624.33681381469,1.00114541784464,"[-0.18, 0.40]",""
"9","frequencySD",0.00214224355484326,0.00716888670163337,270.65255371885,1.01949542048064,"[-0.25, 0.29]",""
"10","tau2",0.0978895647898668,0.00411018006310486,1983.87416651473,0.999674508418704,"[0.00, 0.48]","*"
