"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",8.75232427829231,0.910222321241543,2642.31099955735,0.999651469943805,"[-86.03, 122.10]",""
"2","pubyear",-0.00396073177637849,0.000454320887279841,2631.88428712477,0.999656045195284,"[-0.06, 0.04]",""
"3","dose",0.000125450105447675,6.76035608125248e-06,3336.1753326756,0.999568648295931,"[-0.00, 0.00]",""
"4","dose2",-2.94421557703884e-06,4.80031266027689e-08,2224.43425439358,1.00167812196877,"[-0.00, 0.00]",""
"5","sexMale",0.143762402750732,0.00720019363754977,2666.55977288921,1.00000470677363,"[-0.49, 1.06]",""
"6","diseaseYes",-0.0147227502342283,0.00476163922739347,3675.16202244515,1.00078963534197,"[-0.67, 0.61]",""
"7","anxiety_testSPECT.imaging..subjective.assessments.taken.beforehand.",0.157079156063059,0.00747537887241131,2887.5248272222,0.999539322770978,"[-0.53, 1.12]",""
"8","anxiety_testViewing.fearful.faces.with.different.intensity.of.fearfulness",0.00266342362895342,0.0062558388622795,3452.29908299314,0.999844317957291,"[-0.88, 0.80]",""
"9","tau2_w",0.0511975072432346,0.00148884443960383,2352.6312967773,1.00062618710603,"[0.00, 0.26]","*"
"10","tau2_b",0.520659641004351,0.0197497979183181,1713.38421654637,0.999707443523812,"[0.00, 2.80]","*"
