"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",-88.4782835394267,3.09812072158535,3045.37806346246,1.00124290897045,"[-484.15, 209.64]",""
"2","year",0.0443411325406259,0.00153740931831052,3039.8495806989,1.00124152260584,"[-0.10, 0.24]",""
"3","hed",2.56275912962934,0.0470570771119939,2570.0554485558,1.00039407419287,"[-1.16, 7.52]",""
"4","sexFemale",-0.515556495791806,0.00874846170389499,2171.30368803871,1.00109001998402,"[-1.34, 0.09]",""
"5","sexNI",0.460775593016873,0.0134054065086698,2584.45542499189,1.00124803800694,"[-0.46, 2.19]",""
"6","timingdelay",-0.393419221404228,0.00678130514225837,2609.96040185658,1.00198016114893,"[-1.12, 0.11]",""
"7","diseaseYes.outcome_typeex_recall",-0.13657088241601,0.00800960263063291,3091.93925684002,1.00007016580222,"[-1.23, 0.66]",""
"8","anxiety_testcued",-0.273236733768806,0.00871627611869412,2315.90708135063,1.00042473337474,"[-1.23, 0.37]",""
"9","speciesmice",-0.151893547207636,0.00663047050677877,3005.7722199472,1.00038241993632,"[-1.02, 0.52]",""
"10","outcome_typeex_cons",0.176845746486115,0.00457911903824992,3718.54448488462,1.00072030468861,"[-0.25, 0.86]",""
"11","outcome_typeex_ret",0.109372876440447,0.00327306468666408,3113.71829702692,1.0004598816041,"[-0.19, 0.54]",""
"12","outcome_typemem_ret",0.0384934266518186,0.00483323753679581,5087.60822036433,1.00120540396528,"[-0.68, 0.85]",""
"13","outcome_typemem_recon",-0.319568456270735,0.00811588377500836,3125.44016331773,1.00066486096106,"[-1.37, 0.33]",""
"14","outcome_typemem_recon_ex",-0.0125606833980357,0.00511908136902082,4609.78667149236,0.999730095446248,"[-0.81, 0.76]",""
"15","outcome_typewithin_ex_con",0.130611482686654,0.00478239278312616,3728.1507316158,0.999761875463336,"[-0.37, 0.84]",""
"16","outcome_typewithin_ex_ret",-0.153512273000672,0.00709805812818174,3855.83904599043,0.999785386791793,"[-1.24, 0.64]",""
"17","frequencySD",-0.0872516701090609,0.0056972441416461,2750.5940831722,0.999142132679391,"[-0.80, 0.48]",""
"18","tau2_w",0.0587625846350205,0.0018965714904037,1396.85990951566,1.0017735690931,"[0.00, 0.25]","*"
"19","tau2_b",0.855503563101385,0.0181036819223737,2196.77994879338,1.00171467689691,"[0.11, 2.94]","*"
