"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",0.332800854640937,0.0108738184650669,1517.6845653154,1.00337680566539,"[-0.63, 1.09]",""
"2","hed2",0.220898904894653,0.012232759208224,2269.95111715984,1.00004110340824,"[-0.68, 1.74]",""
"3","outcomeConditioned.fear.expression.hed",-0.109084774350397,0.0200831438679909,1935.56425166041,1.00057970146799,"[-2.12, 1.73]",""
"4","outcomeRetention.of.safety.learning.hed.hed.anxiety_testInhibitory.avoidance.task",-0.111583394499342,0.019617036619458,2012.90787117622,1.00011619676842,"[-2.16, 1.60]",""
"5","outcomeWithin.session.fear.extinction.hed",-0.21143516607236,0.0129967164897419,1279.50925134194,1.00244977433574,"[-1.45, 0.45]",""
"6","outcomeConditioned.fear.expression.hed2",-0.192478288948689,0.0219317880998423,2376.06064370917,1.00209919264647,"[-2.65, 1.86]",""
"7","outcomeRetention.of.safety.learning.hed2.hed2.anxiety_testInhibitory.avoidance.task",0.23427132120742,0.0362660900038561,1965.1562889095,1.00334085065591,"[-3.34, 4.57]",""
"8","outcomeWithin.session.fear.extinction.hed2",0.331815748397702,0.0219169044313684,1324.96285525592,1.00213598080074,"[-0.88, 2.51]",""
"9","hed.anxiety_testContextual.fear.conditioning",0.218009960006058,0.0155523932373564,2168.37354921691,1.00040258614709,"[-0.91, 2.05]",""
"10","hed2.anxiety_testContextual.fear.conditioning",0.221868509283618,0.0176754790053563,2213.74582881005,1.00163971861232,"[-1.18, 2.32]",""
"11","outcomeConditioned.fear.expression",-0.0369304846740192,0.00630097523439797,2756.97607126823,1.00001561566334,"[-0.86, 0.59]",""
"12","outcomeRetention.of.safety.learning.anxiety_testInhibitory.avoidance.task",0.0190346168772796,0.00716381539775648,1907.10965018221,1.00174782650321,"[-0.61, 0.77]",""
"13","outcomeWithin.session.fear.extinction",0.106599638199459,0.00608891493047332,2518.44014855708,1.00004472280174,"[-0.36, 0.97]",""
"14","anxiety_testContextual.fear.conditioning",0.0494913089911373,0.00712368636599481,2438.85916441803,1.00037841766456,"[-0.57, 0.90]",""
"15","tau2_w",0.161323929923523,0.00556335439786453,1570.54657515738,1.00026320004739,"[0.00, 0.75]","*"
"16","tau2_b",0.331442920747823,0.0348330443969935,417.641892532176,1.00806549858063,"[0.00, 2.23]","*"
