"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",0.70936382102715,0.0128284408083918,605.436601820871,1.01386455383049,"[0.09, 1.34]","*"
"2","hed",0.000653757061779293,0.000512672005738541,1464.55849306425,1.000728952566,"[-0.04, 0.05]",""
"3","hed2",-0.000514666160895509,0.000167895911903328,942.678590741038,1.00587672956388,"[-0.01, 0.01]",""
"4","outcomeConditioned.fear.expression.hed",0.0224115093956755,0.00132293682665313,2969.05318456944,1.00016720219805,"[-0.07, 0.23]",""
"5","outcomeExtinction.retention.hed",-0.00499154084068656,0.00128994106277617,2680.00533398711,0.999585630606538,"[-0.17, 0.13]",""
"6","outcomeFear.during.CS.reexposure.hed",-0.00240426333411635,0.000955182184456484,803.650643812383,1.00229976519134,"[-0.07, 0.05]",""
"7","outcomeWithin.session.fear.extinction.hed",0.00780412233982571,0.0010845221494297,2593.82345063053,0.999631216830891,"[-0.09, 0.15]",""
"8","outcomeConditioned.fear.expression.hed2",-0.0231616951377946,0.00672333442228876,114.65078575127,1.0318724199441,"[-0.25, 0.05]",""
"9","outcomeExtinction.retention.hed2",0.00756489595255036,0.0011325266280681,3088.10219425306,1.00073022958732,"[-0.11, 0.17]",""
"10","outcomeFear.during.CS.reexposure.hed2",-6.27488199062817e-05,0.000194664191460803,967.667169866611,1.0056481546132,"[-0.01, 0.01]",""
"11","outcomeWithin.session.fear.extinction.hed2",-0.042835580192212,0.00911594617227117,105.376906920097,1.02885410025349,"[-0.33, 0.04]",""
"12","hed.anxiety_testCued.fear.conditioning",0.0131991771250797,0.000716486839749617,2727.15491431623,1.00237303985931,"[-0.03, 0.13]",""
"13","hed2.anxiety_testCued.fear.conditioning",-3.48156681382025e-05,0.000145680834513125,2009.94508196936,1.00090382085912,"[-0.02, 0.01]",""
"14","outcomeConditioned.fear.expression",0.0023806562378515,0.00124837012992849,2841.56495804347,1.00014332850907,"[-0.10, 0.13]",""
"15","outcomeExtinction.retention",0.0036858606268639,0.00242870045080767,725.107170866739,1.00550863332691,"[-0.13, 0.15]",""
"16","outcomeFear.during.CS.reexposure",0.00673166334063886,0.00353896267066689,385.986632061128,1.00958948556406,"[-0.10, 0.20]",""
"17","outcomeWithin.session.fear.extinction",-0.0323733095306754,0.00422408377588477,622.395929261236,1.00588103801902,"[-0.40, 0.05]",""
"18","anxiety_testCued.fear.conditioning",0.000957176694781269,0.000889320724946804,2783.67256490676,1.00017658662477,"[-0.09, 0.10]",""
"19","tau2_w",0.0251498731158705,0.000857850149880589,1525.95533705362,1.00260583566373,"[0.00, 0.12]","*"
"20","tau2_b",1.44480331339267,0.0225803472061706,1085.30802886173,1.00461744857248,"[0.50, 3.34]","*"
