"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",0.541613918336618,0.00513251730935136,1624.76617437871,0.999865697145353,"[0.13, 0.95]","*"
"2","hed",0.168853674198602,0.0178666227373369,3169.09074002275,0.999747838074363,"[-1.48, 2.76]",""
"3","hed2",0.0284949009197146,0.0999938556254757,3197.61917576921,0.99957497536742,"[-12.13, 12.13]",""
"4","outcomeExtinction.consolidation.hed",-1.74113744491932,0.129420573033868,2201.86137674983,1.00169600326545,"[-18.14, 6.03]",""
"5","outcomeExtinction.recall.hed",-0.609402078735197,0.16988846864949,2529.53634231289,0.999890496743287,"[-18.02, 13.43]",""
"6","outcomeExtinction.retention.hed",-1.91296697650042,0.0981040766184961,2262.63335780601,1.0005192782577,"[-16.02, 3.20]",""
"7","outcomeFear.during.CS.reexposure.hed",3.6826535587274,0.134501318741748,2672.89818775569,1.00035906691383,"[-3.24, 23.58]",""
"8","outcomeFear.memory.reconsolidation.hed",22.4408144759015,3.02332606175434,2924.35765751228,0.999800165322462,"[-255.30, 418.15]",""
"9","outcomeExtinction.consolidation.hed2",49.4371235462061,3.59639043147939,2258.85051435918,1.00177293922274,"[-169.49, 517.36]",""
"10","outcomeExtinction.recall.hed2",-8.19917023150853,3.64194820316811,2741.60904462422,0.99994260183986,"[-401.69, 308.90]",""
"11","outcomeExtinction.retention.hed2",7.86563419593468,1.77080839182103,3406.82460800623,0.999508536190618,"[-220.13, 254.93]",""
"12","outcomeFear.during.CS.reexposure.hed2",-62.3156485185509,4.07316454327113,2200.12052724072,1.00027528336223,"[-649.51, 164.78]",""
"13","outcomeFear.memory.reconsolidation.hed2",-7985.53524230812,1300.65794980703,3244.13844543803,1.00050454145562,"[-190233.63, 121540.17]",""
"14","hed.anxiety_testCued.fear.conditioning",0.41394819920565,0.0600501633245461,3326.55756468472,1.00005833546987,"[-6.35, 8.96]",""
"15","hed2.anxiety_testCued.fear.conditioning",-18.9431483734758,2.78190102318523,2540.8009581519,0.999657291948364,"[-348.28, 207.39]",""
"16","outcomeExtinction.consolidation",0.0332390914169788,0.00250993808265004,2649.17030623788,1.00024759658853,"[-0.10, 0.47]",""
"17","outcomeExtinction.recall",-0.0128450598750813,0.00221946825315541,2677.87546330222,1.00158450282085,"[-0.30, 0.15]",""
"18","outcomeExtinction.retention",0.0161616551366954,0.00134631382028325,3121.14275051998,1.00030783307069,"[-0.08, 0.24]",""
"19","outcomeFear.during.CS.reexposure",-0.00200763083158855,0.00200712450888702,2551.68251570622,1.0003743928469,"[-0.20, 0.18]",""
"20","outcomeFear.memory.reconsolidation",-0.00734210908448229,0.00230937881737996,3292.00374925484,1.00019732235574,"[-0.26, 0.19]",""
"21","anxiety_testCued.fear.conditioning",-0.0489093970858021,0.00461778083470736,1067.21040894628,1.00199478420611,"[-0.54, 0.10]",""
"22","tau2_w",0.0571856571861808,0.00197439432308602,1196.65648701216,1.00067794500252,"[0.00, 0.24]","*"
"23","tau2_b",0.333182764378842,0.00772750137984981,1354.75814357387,1.00078917769658,"[0.03, 1.11]","*"
