"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",0.729591449928425,0.00797739250182318,2256.36432548178,1.00127918073557,"[0.01, 1.57]","*"
"2","dose",0.000102431739298335,6.80672287507961e-06,2824.51801246495,0.999632497611137,"[-0.00, 0.00]",""
"3","dose2",-2.74598198272082e-06,4.64400194104825e-08,2290.73172713521,1.00045057492013,"[-0.00, 0.00]",""
"4","anxiety_testSPECT.imaging..subjective.assessments.taken.beforehand..dose",-0.00531555981155458,0.000346818456484372,3372.49515353286,0.999351082372622,"[-0.05, 0.03]",""
"5","anxiety_testViewing.fearful.faces.with.different.intensity.of.fearfulness.dose",0.000411396328284461,0.000123323326911793,3188.62795041053,1.00102188046428,"[-0.01, 0.02]",""
"6","anxiety_testSPECT.imaging..subjective.assessments.taken.beforehand..dose2",0.000115038319804376,7.83942208125862e-06,3509.23465401945,0.999226923885502,"[-0.00, 0.00]",""
"7","anxiety_testViewing.fearful.faces.with.different.intensity.of.fearfulness.dose2",2.15791442984771e-06,7.32511499804272e-07,3329.53033356409,1.00088463176411,"[-0.00, 0.00]",""
"8","anxiety_testSPECT.imaging..subjective.assessments.taken.beforehand.",0.0587811599725038,0.00770154367187453,3125.82598938799,1.00144754814388,"[-0.83, 1.13]",""
"9","anxiety_testViewing.fearful.faces.with.different.intensity.of.fearfulness",0.0217627271772164,0.00752415977710464,3130.72438228963,1.00012110999308,"[-0.87, 1.02]",""
"10","tau2_w",0.0497701732148865,0.00163545811585678,2031.15086253119,0.999538440798958,"[0.00, 0.26]","*"
"11","tau2_b",0.5291144598411,0.0207611513742554,1878.13070307186,1.00088699205432,"[0.00, 2.92]","*"
