"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",13.9204254000845,1.89564147596385,3248.79984069298,1.00013605512743,"[-209.68, 263.75]",""
"2","pubyear",-0.00654531473183429,0.000939630074270585,3250.57630808153,1.00013889600858,"[-0.13, 0.10]",""
"3","hed",0.101531379179343,0.00566334706816334,2847.84353118947,0.999714239440822,"[-0.46, 0.84]",""
"4","hed2",-0.357721333907301,0.00989741468521036,2435.24588480082,1.00062381420398,"[-1.55, 0.34]",""
"5","timingdelay",0.0211451511757062,0.00339676000024382,3507.26719512078,1.00145129332461,"[-0.38, 0.50]",""
"6","diseaseNo",0.0356487290729403,0.00583227517124725,2449.41646133783,1.00120137769185,"[-0.54, 0.73]",""
"7","anxiety_testNSF",-0.00524571787480907,0.0028811762848721,4230.36398341753,1.00039662156545,"[-0.43, 0.42]",""
"8","anxiety_testRCLB",0.0187191027932624,0.00544143111433837,3751.64129199344,0.999579362721219,"[-0.69, 0.79]",""
"9","speciesrats",-0.231955024074609,0.00873344787581123,2664.71134135227,1.00158724216753,"[-1.44, 0.38]",""
"10","frequencyMD",-0.474986853504708,0.0100975954638878,1422.05299369776,1.00159344299977,"[-1.22, 0.05]",""
"11","tau2_w",0.134401896280447,0.00383595961482446,1024.55116714799,1.00270294181089,"[0.00, 0.45]","*"
"12","tau2_b",0.626661272630889,0.01902157956628,1883.52981919375,1.00235782143059,"[0.01, 2.79]","*"
