"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",0.361385627903877,0.00347316021427887,1063.28150901242,1.00365473978752,"[0.15, 0.60]","*"
"2","hed",0.00886611776556618,0.000494659316342092,2110.95332947107,0.999654275324312,"[-0.03, 0.07]",""
"3","hed2",-0.00326157928255006,0.00011172120292513,2591.72463172724,0.999487273378795,"[-0.02, 0.01]",""
"4","anxiety_testASR.hed",-0.0326367726571885,0.00114716983170728,2144.88177113128,1.00133186086603,"[-0.15, 0.06]",""
"5","anxiety_testdefense.hed",-0.0882899685844127,0.00726183421092712,2267.38299058533,1.000976090502,"[-0.80, 0.64]",""
"6","anxiety_testNSF.hed",0.52006579611412,0.0418630392793154,2728.43014593679,1.0008918193092,"[-3.29, 5.39]",""
"7","anxiety_testRCLB.hed",0.223748464538248,0.00839765671133571,519.996457792941,1.00922077777517,"[-0.02, 0.59]",""
"8","anxiety_testSIT.hed",0.0380661944483068,0.0016452282025117,1663.93845181161,1.00240715646629,"[-0.06, 0.21]",""
"9","anxiety_testASR.hed2",-0.00942312162019251,0.000251416986074127,2313.1676075741,1.00208749061282,"[-0.04, 0.01]",""
"10","anxiety_testdefense.hed2",0.059801805626062,0.00406403292393344,2097.23222933078,1.00129974631259,"[-0.24, 0.50]",""
"11","anxiety_testNSF.hed2",1.09000687183963,0.148368491991418,2534.05014126529,1.00193357563235,"[-13.43, 15.84]",""
"12","anxiety_testRCLB.hed2",-0.0420349495045982,0.00155843380138721,491.818625793493,1.00880814638877,"[-0.11, 0.00]",""
"13","anxiety_testSIT.hed2",-0.00488827304548956,0.000242432134557991,2146.0258929689,1.00102687308149,"[-0.03, 0.01]",""
"14","anxiety_testASR",-0.0194510511455398,0.00176391256905251,2729.45269334978,1.00096598001818,"[-0.25, 0.15]",""
"15","anxiety_testdefense",0.0719777012379916,0.0053095895085077,2340.29077284453,1.00157128317399,"[-0.30, 0.86]",""
"16","anxiety_testNSF",0.0284530156977851,0.0061974795296391,2049.11059456975,1.00035949233884,"[-0.53, 0.69]",""
"17","anxiety_testRCLB",1.02823517733264,0.0181672644396344,483.005582262226,1.00894779514137,"[0.01, 1.73]","*"
"18","anxiety_testSIT",-0.113405986412497,0.00439828485166722,1493.73847718604,1.00262695986898,"[-0.55, 0.10]",""
"19","tau2_w",0.188136867011646,0.00136735068390244,1227.61560237101,1.00170969185913,"[0.11, 0.29]","*"
"20","tau2_b",0.31843796219577,0.0040390080883039,912.218894727196,1.00387626303129,"[0.13, 0.61]","*"
