"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",0.829769533683581,0.00872991759377086,659.050111684423,1.00428213138987,"[0.39, 1.27]","*"
"2","hed",-0.0362084572765561,0.00433287442694052,2837.31128383407,1.00027972590101,"[-0.54, 0.44]",""
"3","hed2",-0.0283539211977017,0.00146888432628222,3136.99757220141,0.999440363297498,"[-0.22, 0.11]",""
"4","anxiety_testdefense.hed",-3.62024489067888,0.19434538528043,2513.97004314188,0.999669868354819,"[-26.59, 12.60]",""
"5","anxiety_testDoxapram.hed",-1.3557730156578,0.0921025282958375,3934.91851547118,1.00005582734711,"[-14.55, 10.41]",""
"6","anxiety_testNSF.hed",0.308431513139633,0.13223087644003,2437.05731938137,0.999938378100099,"[-12.32, 15.39]",""
"7","anxiety_testSIT.hed",2.86536357549705,0.21078245844105,1521.23574841052,1.00313473527938,"[-8.69, 27.96]",""
"8","anxiety_testdefense.hed2",43.5006094711435,1.49895597740401,2976.13676361855,0.999814058818074,"[-84.58, 226.50]",""
"9","anxiety_testDoxapram.hed2",23.0366862605596,1.32572092606162,3205.55526701578,0.99986810031007,"[-108.26, 201.42]",""
"10","anxiety_testNSF.hed2",16.6369935661734,1.56526538059075,1892.28893758117,1.00176089108678,"[-87.68, 201.99]",""
"11","anxiety_testSIT.hed2",-9.80985358426796,1.27347395974777,2520.63955111093,1.00077604691754,"[-177.05, 104.04]",""
"12","anxiety_testdefense",0.0129118919859081,0.00645827253326205,2310.69089223468,1.00016790864341,"[-0.63, 0.74]",""
"13","anxiety_testDoxapram",-0.10105219889584,0.0102483566063774,1742.81440961708,1.00019006400005,"[-1.38, 0.45]",""
"14","anxiety_testNSF",-0.0391024311867342,0.00631497828047869,2295.80663070493,0.999819261202421,"[-0.84, 0.51]",""
"15","anxiety_testSIT",-3.18795465713625,0.0383484871082668,932.421940153912,1.005507338261,"[-5.15, -0.09]","*"
"16","tau2_w",0.120016520912589,0.00320943887364578,629.823901814461,1.00825037849324,"[0.00, 0.31]","*"
"17","tau2_b",1.70976075434512,0.0143924675016798,1220.86504600317,1.00482587236798,"[0.94, 2.89]","*"
