"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",159.390842357362,0.266371246528424,"",NA,"[-121.68, 440.46]","CBDanimalconditioned"
"2","pubyear",-0.0782856741036035,0.271529830316025,"",1.70053036215255,"[-0.22, 0.06]","CBDanimalconditioned"
"3","hed",0.051871842801806,0.487882672711438,"",3.20309562876071,"[-0.09, 0.20]","CBDanimalconditioned"
"4","hed2",-0.0133743369683306,0.49291927277206,"",3.28668117438154,"[-0.05, 0.02]","CBDanimalconditioned"
"5","timingdelay",1.21182045376851,0.33966193441883,"",8.07174016885556,"[-1.28, 3.70]","CBDanimalconditioned"
"6","anxiety_testCued fear conditioning",0.127218614292563,0.507516764735749,"",1.43791446239503,"[-0.25, 0.50]","CBDanimalconditioned"
"7","speciesmice",-0.144742489539646,0.889749872647797,"",6.17524870559017,"[-2.19, 1.90]","CBDanimalconditioned"
"8","outcomeConditioned fear expression",-0.908849256882996,0.140831798562355,"",10.6041904331866,"[-2.12, 0.30]","CBDanimalconditioned"
"9","outcomeExtinction retention",-0.763521349742231,0.20477089790909,"",7.21745521113599,"[-1.94, 0.42]","CBDanimalconditioned"
"10","outcomeFear during CS reexposure",-0.582565157055677,0.352192297242334,"",4.43816392529622,"[-1.81, 0.64]","CBDanimalconditioned"
"11","outcomeWithin-session fear extinction",-1.11871488973946,0.0638562652729132,"",11.0134742353158,"[-2.30, 0.06]","CBDanimalconditioned"
"12","frequencyMD",-1.68967154719298,0.0307109533789494,"*",3.55797862650143,"[-3.22, -0.16]","CBDanimalconditioned"
"13","Tau2b",0.502234059269685,NA,"*",NA,"[0.06, 2.04]","CBDanimalconditioned"
"14","Tau2w",8.4470469352876e-10,NA,"",NA,"[0.00, 0.13]","CBDanimalconditioned"
