"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",67.8689357201043,0.00637629082215286,"*",NA,"[19.10, 116.63]","CBDanimalunconditioned"
"2","pubyear",-0.0334877778793284,0.00669780409410171,"*",1.12600854017526,"[-0.06, -0.01]","CBDanimalunconditioned"
"3","hed",0.061518337635731,0.0853725361857506,"",2.8331133407876,"[-0.01, 0.13]","CBDanimalunconditioned"
"4","hed2",-0.0189466791632491,0.0143430204184278,"*",2.84330741464002,"[-0.03, -0.00]","CBDanimalunconditioned"
"5","sexFemale",-0.466980975516475,0.170160053740141,"",1.09797020990145,"[-1.13, 0.20]","CBDanimalunconditioned"
"6","sexMale and female",-0.308362365235606,0.533045446453315,"",1.06058061142636,"[-1.28, 0.66]","CBDanimalunconditioned"
"7","timingdelay",0.238566834089013,0.127360690406083,"",1.43729608243202,"[-0.07, 0.55]","CBDanimalunconditioned"
"8","diseaseYes",0.825521429509215,0.000990101718244794,"*",1.20392819276778,"[0.33, 1.32]","CBDanimalunconditioned"
"9","anxiety_testASR",-0.16933827783184,0.275424179099577,"",1.04233302577927,"[-0.47, 0.13]","CBDanimalunconditioned"
"10","anxiety_testdefense",0.773381352370431,0.102293093649887,"",1.06061915339263,"[-0.15, 1.70]","CBDanimalunconditioned"
"11","anxiety_testNSF",-0.0277727256600166,0.93753172444188,"",1.15417398027477,"[-0.72, 0.67]","CBDanimalunconditioned"
"12","anxiety_testRCLB",0.781466606355512,0.000307307060153931,"*",1.13531525151293,"[0.36, 1.21]","CBDanimalunconditioned"
"13","anxiety_testSIT",-0.293966987133195,0.1521783653669,"",1.12549792819255,"[-0.70, 0.11]","CBDanimalunconditioned"
"14","speciesrats",-0.186153418158434,0.349466440399189,"",1.26942345508622,"[-0.58, 0.20]","CBDanimalunconditioned"
"15","frequencyMD",-0.0911950909271929,0.504525763964549,"",1.46657991949345,"[-0.36, 0.18]","CBDanimalunconditioned"
"16","Tau2b",0.183853312540005,NA,"*",NA,"[0.06, 0.41]","CBDanimalunconditioned"
"17","Tau2w",0.194338597621946,NA,"*",NA,"[0.11, 0.30]","CBDanimalunconditioned"
