"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","year",0.165199343102612,0.147520827323711,"",665731.065713,"[-0.06, 0.39]","URB597conditioned"
"2","dose",40.4066671735135,0.110660895841239,"",6052481.73058316,"[-9.24, 90.05]","URB597conditioned"
"3","dose2",0.707956147173929,0.120360639656212,"",1478788.22194587,"[-0.19, 1.60]","URB597conditioned"
"4","hed",-390.095436728907,0.0711475806863204,"",851072.960368688,"[-813.79, 33.60]","URB597conditioned"
"5","hed2",-156.761416793185,0.0726081294345025,"",205513.021338433,"[-327.90, 14.38]","URB597conditioned"
"6","sexMale",0.904040487632511,0.00709021466134328,"*",2.1942781390347,"[0.25, 1.56]","URB597conditioned"
"7","sexNI",4.58518728438998,0.00751802564632673,"*",2.65414073260347,"[1.22, 7.95]","URB597conditioned"
"8","timingdelay",-0.656426658679618,0.0946114031161245,"",1.65161433481597,"[-1.43, 0.11]","URB597conditioned"
"9","anxiety_testcued",-1.04290303642187,0.195021341558711,"",2.35219472936737,"[-2.62, 0.53]","URB597conditioned"
"10","outcome_typeex_recall",-0.59471034172848,0.632320937081727,"",1.7993895729225,"[-3.03, 1.84]","URB597conditioned"
"11","outcome_typeex_ret",-0.248056385750699,0.466590564622478,"",3.36625550976089,"[-0.92, 0.42]","URB597conditioned"
"12","outcome_typemem_ret",-0.495332281015134,0.523298436053143,"",1.32961305888563,"[-2.02, 1.03]","URB597conditioned"
"13","outcome_typemem_recon",-1.56476475953407,0.0284131247582013,"*",1.40332839614061,"[-2.96, -0.17]","URB597conditioned"
"14","outcome_typemem_recon_ex",-0.687239047935835,0.366708011873244,"",1.34526490064835,"[-2.18, 0.80]","URB597conditioned"
"15","outcome_typewithin_ex",-0.451707284508588,0.227943262616926,"",4.54191424587355,"[-1.19, 0.28]","URB597conditioned"
"16","outcome_typewithin_ex_con",-0.035879115455241,0.939549160428969,"",1.49410038089775,"[-0.96, 0.89]","URB597conditioned"
"17","outcome_typewithin_ex_ret",-1.62889099155494,0.149267883246455,"",1.5495310913085,"[-3.84, 0.58]","URB597conditioned"
"18","frequencySD",0.0278147230701664,0.960888010718735,"",3.09077771573446,"[-1.08, 1.14]","URB597conditioned"
"19","Tau2b",0.75470826084697,NA,"*",NA,"[0.13, 4.62]","URB597conditioned"
"20","Tau2w",1.08307517197776e-09,NA,"",NA,"[0.00, 0.22]","URB597conditioned"
