"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",-135.87140465453,0.455156786497382,"",NA,"[-492.44, 220.70]","URB597unconditioned"
"2","year",0.0657088020300796,0.461132537367294,"",1.21187068497535,"[-0.11, 0.24]","URB597unconditioned"
"3","dose",-0.479878691677135,0.830161886821561,"",2790.37344789729,"[-4.86, 3.91]","URB597unconditioned"
"4","dose2",-0.0192701408979117,0.722561811727957,"",2065.87103844758,"[-0.13, 0.09]","URB597unconditioned"
"5","hed",-2.12745110257752,0.538725771219533,"",103.144219389462,"[-8.91, 4.66]","URB597unconditioned"
"6","hed2",1.68902703116108,0.576141017923867,"",101.045520603418,"[-4.23, 7.61]","URB597unconditioned"
"7","sexFemale",0.342616940109368,0.520482015908841,"",1.00388859147349,"[-0.70, 1.39]","URB597unconditioned"
"8","sexNI",-1.53917631536321,0.292133239911376,"",1.09144457758451,"[-4.40, 1.32]","URB597unconditioned"
"9","timingdelay",-0.388676091571994,0.677798153743329,"",1.01764345231001,"[-2.22, 1.44]","URB597unconditioned"
"10","frequencyMD",0.214819184276643,0.621924378311421,"",1.05639182960515,"[-0.64, 1.07]","URB597unconditioned"
"11","Tau2b",4.91000279259566,NA,"*",NA,"[2.78, 9.26]","URB597unconditioned"
"12","Tau2w",0.386885217534074,NA,"*",NA,"[0.20, 0.68]","URB597unconditioned"
