"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",1.81988873458043,0.00223896492756411,"*",NA,"[0.65, 2.99]","CBDanimalconditioned"
"2","outcomeConditioned fear expression",-1.24951333472314,0.113030280155241,"",17.1339800130831,"[-2.79, 0.30]","CBDanimalconditioned"
"3","outcomeExtinction retention",-1.64065603069581,0.0315841053121959,"*",11.4567708400318,"[-3.14, -0.14]","CBDanimalconditioned"
"4","outcomeFear during CS reexposure",-1.318711067648,0.058481953854777,"",4.9231100686658,"[-2.68, 0.05]","CBDanimalconditioned"
"5","outcomeWithin-session fear extinction",-1.87524272558383,0.0172925904665908,"*",18.3579725221442,"[-3.42, -0.33]","CBDanimalconditioned"
"6","hed",0.0227445953791355,0.898549398932948,"",17.4823746528153,"[-0.33, 0.37]","CBDanimalconditioned"
"7","hed2",-0.0262063141059467,0.622279729532119,"",23.1047508956524,"[-0.13, 0.08]","CBDanimalconditioned"
"8","anxiety_testCued fear conditioning",0.241420186452081,0.299309485034576,"",2.07230313766121,"[-0.21, 0.70]","CBDanimalconditioned"
"9","outcomeConditioned fear expression:hed",0.0518306347719483,0.85938834646403,"",4.29516839383397,"[-0.52, 0.63]","CBDanimalconditioned"
"10","outcomeExtinction retention:hed",-0.10635013606402,0.716662910432571,"",3.21671972456879,"[-0.68, 0.47]","CBDanimalconditioned"
"11","outcomeFear during CS reexposure:hed",-0.160618103153103,0.475511130521403,"",20.2750890827216,"[-0.60, 0.28]","CBDanimalconditioned"
"12","outcomeWithin-session fear extinction:hed",-0.141442624783555,0.615369488854264,"",4.28738046140417,"[-0.69, 0.41]","CBDanimalconditioned"
"13","outcomeConditioned fear expression:hed2",-0.347252685381117,0.111587100828276,"",5.35738525904353,"[-0.78, 0.08]","CBDanimalconditioned"
"14","outcomeExtinction retention:hed2",0.0714335178753674,0.796845290752457,"",3.48475730636144,"[-0.47, 0.62]","CBDanimalconditioned"
"15","outcomeFear during CS reexposure:hed2",0.0475870106239541,0.446380347234483,"",27.5446346223532,"[-0.07, 0.17]","CBDanimalconditioned"
"16","outcomeWithin-session fear extinction:hed2",-0.099731094116042,0.642866743068023,"",5.46701628377664,"[-0.52, 0.32]","CBDanimalconditioned"
"17","hed:anxiety_testCued fear conditioning",0.20667512759189,0.134793295605848,"",5.27094235697841,"[-0.06, 0.48]","CBDanimalconditioned"
"18","hed2:anxiety_testCued fear conditioning",-0.0310581819496143,0.350231690468133,"",5.02989461547836,"[-0.10, 0.03]","CBDanimalconditioned"
"19","Tau2b",0.781198313851843,NA,"*",NA,"[0.17, 2.55]","CBDanimalconditioned"
"20","Tau2w",6.55657157408539e-10,NA,"",NA,"[0.00, 0.18]","CBDanimalconditioned"
