"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",70.6979503761133,0.00488263673916527,"*",NA,"[21.47, 119.93]","CBDanimalunconditioned"
"2","pubyear",-0.034902513595466,0.00511712485447251,"*",1.16289417072977,"[-0.06, -0.01]","CBDanimalunconditioned"
"3","hed",0.0586005261415233,0.0695299596614942,"",3.10005125806345,"[-0.00, 0.12]","CBDanimalunconditioned"
"4","hed2",-0.0138040207106194,0.0377022726887526,"*",3.09765748928787,"[-0.03, -0.00]","CBDanimalunconditioned"
"5","sexFemale",-0.487612069811565,0.143824626949345,"",1.09643331570691,"[-1.14, 0.17]","CBDanimalunconditioned"
"6","sexMale and female",-0.335368511287984,0.503312677651344,"",1.05212563772695,"[-1.32, 0.65]","CBDanimalunconditioned"
"7","timingdelay",0.240504870513244,0.0662191313196198,"",1.34238878325567,"[-0.02, 0.50]","CBDanimalunconditioned"
"8","diseaseYes",0.819000063496682,0.000468453570314236,"*",1.21787339870679,"[0.36, 1.28]","CBDanimalunconditioned"
"9","anxiety_testASR",-0.186500208878869,0.134757192466689,"",1.04423029380857,"[-0.43, 0.06]","CBDanimalunconditioned"
"10","anxiety_testdefense",0.776255631416749,0.082943545728032,"",1.05838277908504,"[-0.10, 1.65]","CBDanimalunconditioned"
"11","anxiety_testNSF",-0.0295005384494997,0.922873577965087,"",1.11223628342157,"[-0.63, 0.57]","CBDanimalunconditioned"
"12","anxiety_testRCLB",0.769190011880243,0.000147929822873053,"*",1.10195394825382,"[0.37, 1.17]","CBDanimalunconditioned"
"13","anxiety_testSIT",-0.253456398735924,0.150128555512991,"",1.14710519566656,"[-0.60, 0.09]","CBDanimalunconditioned"
"14","speciesrats",-0.242775498625109,0.25290282164019,"",1.30049195038947,"[-0.66, 0.17]","CBDanimalunconditioned"
"15","frequencyMD",-0.0553296690176389,0.631517228447879,"",1.36223888409289,"[-0.28, 0.17]","CBDanimalunconditioned"
"16","Tau2b",0.208226536260045,NA,"*",NA,"[0.07, 0.46]","CBDanimalunconditioned"
"17","Tau2w",0.0616548347253119,NA,"*",NA,"[0.01, 0.14]","CBDanimalunconditioned"
