"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",0.913335115252883,0.0458993735041834,"*",NA,"[0.02, 1.81]","AM404unconditioned"
"2","anxiety_testASR",-0.944813369034838,0.434323860090211,"",4.79854017541014,"[-3.31, 1.42]","AM404unconditioned"
"3","anxiety_testdefense",-0.423206049603856,0.721311118775548,"",1.13220386699023,"[-2.75, 1.90]","AM404unconditioned"
"4","anxiety_testRCLB",1.30874349412036,0.115340229005664,"",2.22845173930541,"[-0.32, 2.94]","AM404unconditioned"
"5","hed",-0.0504654750786899,0.961154907812331,"",6.20722292776959,"[-2.08, 1.98]","AM404unconditioned"
"6","hed2",-3.35992846805018,0.346324150966411,"",59.1791883999067,"[-10.35, 3.63]","AM404unconditioned"
"7","anxiety_testASR:hed",0.915065994281314,0.847443103409248,"",54.2676957282125,"[-8.41, 10.24]","AM404unconditioned"
"8","anxiety_testRCLB:hed",6.41056866993547,0.00246552891261555,"*",5.79788442735045,"[2.26, 10.56]","AM404unconditioned"
"9","anxiety_testASR:hed2",3.01044364256274,0.526791294397957,"",85.9307735540924,"[-6.31, 12.33]","AM404unconditioned"
"10","anxiety_testRCLB:hed2",0.828741466352825,0.838328789067844,"",19.8475430282297,"[-7.13, 8.79]","AM404unconditioned"
"11","Tau2b",0.263987395898924,NA,"",NA,"[0.00, 1.32]","AM404unconditioned"
"12","Tau2w",0.472993894256314,NA,"*",NA,"[0.18, 1.07]","AM404unconditioned"
