"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",0.324665674958859,0.00424880514264951,"*",NA,"[0.10, 0.55]","CBDanimalunconditioned"
"2","anxiety_testASR",-0.0821310878407678,0.700614680794094,"",1.99990013125622,"[-0.50, 0.34]","CBDanimalunconditioned"
"3","anxiety_testdefense",0.934610658035704,0.371070905349111,"",4.37264172251419,"[-1.11, 2.98]","CBDanimalunconditioned"
"4","anxiety_testNSF",0.410047668276393,0.231938993656101,"",1.02569022838992,"[-0.26, 1.08]","CBDanimalunconditioned"
"5","anxiety_testRCLB",1.57883871007392,2.09410241783509e-08,"*",1.67765632839953,"[1.03, 2.13]","CBDanimalunconditioned"
"6","anxiety_testSIT",-0.334327044569866,0.157211131866748,"",1.41893395381373,"[-0.80, 0.13]","CBDanimalunconditioned"
"7","hed",0.0216567909089489,0.634788135305915,"",4.4863056318503,"[-0.07, 0.11]","CBDanimalunconditioned"
"8","hed2",-0.00627769535452822,0.564629772512904,"",5.40809589174687,"[-0.03, 0.02]","CBDanimalunconditioned"
"9","anxiety_testASR:hed",-0.051894713996611,0.591443016246669,"",4.12800572954626,"[-0.24, 0.14]","CBDanimalunconditioned"
"10","anxiety_testdefense:hed",-1.09120264197614,0.693194575316238,"",142.512781131128,"[-6.51, 4.33]","CBDanimalunconditioned"
"11","anxiety_testRCLB:hed",0.532758147769006,0.000115268648570358,"*",4.53082915631707,"[0.26, 0.80]","CBDanimalunconditioned"
"12","anxiety_testSIT:hed",0.116644250862906,0.296967234917535,"",3.57744035967509,"[-0.10, 0.34]","CBDanimalunconditioned"
"13","anxiety_testASR:hed2",-0.0099540675926951,0.664571469079819,"",5.46679522889304,"[-0.05, 0.04]","CBDanimalunconditioned"
"14","anxiety_testdefense:hed2",-0.559040560518407,0.725959659767349,"",169.584897653454,"[-3.69, 2.57]","CBDanimalunconditioned"
"15","anxiety_testRCLB:hed2",-0.0971311042378762,8.7479672840442e-05,"*",5.98108801256987,"[-0.15, -0.05]","CBDanimalunconditioned"
"16","anxiety_testSIT:hed2",-0.0132835417283715,0.535451893340588,"",4.63131640869648,"[-0.06, 0.03]","CBDanimalunconditioned"
"17","Tau2b",0.256357009706463,NA,"*",NA,"[0.11, 0.51]","CBDanimalunconditioned"
"18","Tau2w",0.185917474796604,NA,"*",NA,"[0.11, 0.30]","CBDanimalunconditioned"
