"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",0.995531452055784,1.1198358814327e-05,"*",NA,"[0.55, 1.44]","URB597unconditioned"
"2","anxiety_testdefense",-0.782494234246485,0.538826220253838,"",1.84668750139363,"[-3.28, 1.71]","URB597unconditioned"
"3","anxiety_testDoxapram",-2.36467216912018,0.12861633342392,"",1.45194108229855,"[-5.41, 0.69]","URB597unconditioned"
"4","anxiety_testNSF",0.128016321762729,0.972657093210715,"",38.610688750834,"[-7.19, 7.45]","URB597unconditioned"
"5","anxiety_testSIT",-5.24899129511047,9.66428478028578e-06,"*",3.86642350096447,"[-7.57, -2.92]","URB597unconditioned"
"6","hed",0.157756489793244,0.842509184081044,"",9.66151242504234,"[-1.40, 1.71]","URB597unconditioned"
"7","hed2",-0.12317465501634,0.642873793434196,"",9.63163557657426,"[-0.64, 0.40]","URB597unconditioned"
"8","anxiety_testdefense:hed",-18.1236637918615,0.129290296099216,"",1.83866501638709,"[-41.54, 5.29]","URB597unconditioned"
"9","anxiety_testDoxapram:hed",7.66241400419572,0.676834914125833,"",7.98262470955831,"[-28.37, 43.70]","URB597unconditioned"
"10","anxiety_testNSF:hed",52.0211509331129,0.648845413551821,"",302.113397530071,"[-171.89, 275.93]","URB597unconditioned"
"11","anxiety_testSIT:hed",-5.90958331802521,0.779318735109921,"",11.5367531231248,"[-47.25, 35.43]","URB597unconditioned"
"12","anxiety_testDoxapram:hed2",220.831932498825,0.384002749304674,"",9.10047716784057,"[-276.35, 718.02]","URB597unconditioned"
"13","anxiety_testNSF:hed2",498.021620423306,0.520575437625766,"",148.111344904484,"[-1021.30, 2017.35]","URB597unconditioned"
"14","anxiety_testSIT:hed2",67.1198685752155,0.726265590241699,"",8.964989501403,"[-308.64, 442.88]","URB597unconditioned"
"15","Tau2b",1.455562549675,NA,"*",NA,"[0.79, 2.64]","URB597unconditioned"
"16","Tau2w",0.142991603898046,NA,"*",NA,"[0.02, 0.36]","URB597unconditioned"
