"Parameter","Estimate","p","Sample","CI"
"Overall ES",0.501430178678502,0.0741696341450812,"CBDhumanexperimental","[-0.05, 1.05]"
"V between",0.152253214614389,0.911494764545017,"CBDhumanexperimental","[0.00, 3.67]"
"V within",0.008020425167708,0.142158230028695,"CBDhumanexperimental","[0.00, 0.28]"
"I2_Within",2.37776735450518,NA,"CBDhumanexperimental","[NA, NA]"
"I2_Between",45.1375975411065,NA,"CBDhumanexperimental","[NA, NA]"
"Overall ES",0.689638921002471,0.0396055225477854,"CBDanimalconditioned","[0.03, 1.35]"
"V between",1.39174861249695,1,"CBDanimalconditioned","[0.54, 3.87]"
"V within",1.00189017877495e-09,1.57917772755407e-11,"CBDanimalconditioned","[0.00, 0.12]"
"I2_Within",6.14421233366085e-08,NA,"CBDanimalconditioned","[NA, NA]"
"I2_Between",85.3506618930533,NA,"CBDanimalconditioned","[NA, NA]"
"Overall ES",0.552303501985289,6.09627677580292e-07,"CBDanimalunconditioned","[0.34, 0.77]"
"V between",0.518266801790884,0.010902270773701,"CBDanimalunconditioned","[0.28, 0.93]"
"V within",0.0647538236996385,4.08343974206125e-14,"CBDanimalunconditioned","[0.01, 0.14]"
"I2_Within",8.18576104008118,NA,"CBDanimalunconditioned","[NA, NA]"
"I2_Between",65.5159487437492,NA,"CBDanimalunconditioned","[NA, NA]"
"Overall ES",0.540968661438116,0.000522472949932691,"AM404conditioned","[0.24, 0.85]"
"V between",5.2327837904301e-10,0.186458156085573,"AM404conditioned","[0.00, 0.70]"
"V within",0.144804192973455,1,"AM404conditioned","[0.00, 0.66]"
"I2_Within",47.4027614423384,NA,"AM404conditioned","[NA, NA]"
"I2_Between",1.7129918450812e-07,NA,"AM404conditioned","[NA, NA]"
"Overall ES",0.72842907226036,0.00559071562013391,"AM404unconditioned","[0.21, 1.24]"
"V between",0.459373367242168,2.42734643237064e-07,"AM404unconditioned","[0.08, 1.74]"
"V within",0.621040408449895,0.00597939222513102,"AM404unconditioned","[0.27, 1.32]"
"I2_Within",46.02460638038,NA,"AM404unconditioned","[NA, NA]"
"I2_Between",34.0436437328156,NA,"AM404unconditioned","[NA, NA]"
"Overall ES",0.501836938707688,0.00282503906696425,"URB597conditioned","[0.17, 0.83]"
"V between",0.229038214675936,0.878078133309079,"URB597conditioned","[0.04, 0.83]"
"V within",0.0114500433542717,0.00538299888406616,"URB597conditioned","[0.00, 0.23]"
"I2_Within",2.46494542848633,NA,"URB597conditioned","[NA, NA]"
"I2_Between",49.3069486940846,NA,"URB597conditioned","[NA, NA]"
"Overall ES",0.553707393814015,0.0142236125030608,"URB597unconditioned","[0.11, 1.00]"
"V between",2.04132547618676,0.0055470866595072,"URB597unconditioned","[1.17, 3.56]"
"V within",0.180076719396957,7.38037235165458e-11,"URB597unconditioned","[0.04, 0.42]"
"I2_Within",7.20191325830756,NA,"URB597unconditioned","[NA, NA]"
"I2_Between",81.6399202556711,NA,"URB597unconditioned","[NA, NA]"
"Overall ES",0.598731743957184,0.012913511031196,"PF3845unconditioned","[0.13, 1.07]"
"V between",0.282660793690263,0.0472631434762935,"PF3845unconditioned","[0.01, 1.57]"
"V within",0.148499142360975,0.0366955810761802,"PF3845unconditioned","[0.00, 0.47]"
"I2_Within",23.7990329061559,NA,"PF3845unconditioned","[NA, NA]"
"I2_Between",45.3002853980292,NA,"PF3845unconditioned","[NA, NA]"
